pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
HD 20782 b,HD 20782,2,5,Radial Velocity,2006,Anglo-Australian Telescope,,591.90002,1.3649,,0.95,,,5782.13,1.12,1.04,50.0166232,-28.8543535,35.9864
HIP 66074 b,HIP 66074,1,1,Astrometry,2023,European Space Agency (ESA) Gaia Satellite,,310.9,0.799,,0.948,,,4300,0.69,0.7,203.1635632,75.0071038,35.4438
HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,G5,111.43639,0.45645,11.243,0.93233,,405,5569.445,1.04,1.02,140.6569501,50.6037764,66.4711
GJ 3222 b,GJ 3222,2,1,Radial Velocity,2022,Multiple Observatories,,10.66669,0.091,,0.929,,,,,0.89,50.8972464,-40.0762325,18.23817
HD 4113 b,HD 4113,3,1,Radial Velocity,2007,La Silla Observatory,G5,526.57195,1.28,,0.901,,,5688,,1,10.8027515,-37.9831248,41.8727
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,K0,1214.24,2.0875,,0.8855,,,5000,,0.82,271.3979337,63.6700064,38.0473
HD 28254 b,HD 28254,2,1,Radial Velocity,2010,La Silla Observatory,G1 IV/V,1224.5,2.3,,0.88,,,5664,1.48,1.08,66.2108141,-50.6228081,55.2884
HR 5183 b,HR 5183,2,1,Radial Velocity,2019,Multiple Observatories,G0 V,38350,22.8,,0.875,,171,5794,1.545,1.07,206.7357992,6.3498994,31.4607
HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Observatories,,21471.14507,15.2435,,0.871,,,6057.62,1.46,1.125,62.4122255,31.6524346,40.9128
HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,G5,1711.7,2.878,,0.871,0.14,203,5837,1.06,1.08,140.7912931,33.9048294,85.3951
HD 76920 b,HD 76920,1,1,Radial Velocity,2017,Multiple Observatories,K1 III,415.4,1.149,,0.856,,,4698,7.47,1.17,133.820353,-67.2653621,184.031
K2-312 c,HD 80653,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,,921.2,1.961,,0.853,,,5959,1.22,1.18,140.3390845,14.3678691,109.86
HD 98649 b,HD 98649,1,1,Radial Velocity,2012,La Silla Observatory,G4 V,5540.65215,6.1335,,0.851,,,5774.5,1.005,1.01,170.2147665,-23.2181063,42.1727
KIC 3526061 b,KIC 3526061,1,1,Radial Velocity,2022,McDonald Observatory,,3552,5.14,,0.85,,,4829,5.86,1.42,285.1863974,38.6111112,401.229
HD 156846 b,HD 156846,2,1,Radial Velocity,2007,La Silla Observatory,G0 V,359.51001,1.096,,0.84785,,,6090,2.01,1.38,260.1423366,-19.334365,47.7332
WASP-53 c,WASP-53,1,2,Radial Velocity,2017,Multiple Facilities,,2840,3.73,,0.8369,,,4953,0.8,0.84,31.9091639,-20.661843,201.338
ROXs 12 b,ROXs 12,2,1,Imaging,2013,W. M. Keck Observatory,M0,,212,,0.83,,,3698.5,1.07,0.675,246.6167993,-25.446695,136.65
HD 144899 b,HD 144899,1,1,Radial Velocity,2022,Multiple Observatories,,40.43914,0.242,,0.821,,,,,1.16,242.5721002,-47.9146826,115.665
HD 7449 b,HD 7449,2,1,Radial Velocity,2011,La Silla Observatory,,1270.55195,2.34,,0.82,,,6028.3,1.01,1.12,18.621465,-5.0479716,38.662
HD 22781 b,HD 22781,1,1,Radial Velocity,2011,Haute-Provence Observatory,K1,528.07,1.167,,0.8191,,,5027,,0.75,55.2065581,31.8258855,32.6034
TOI-3362 b,TOI-3362,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),,18.09539295,0.153,12.4315,0.815,37.21,688,6520.9,1.815,1.45,155.9841428,-56.8431169,366.987
HD 219828 c,HD 219828,1,2,Radial Velocity,2016,Multiple Facilities,G0 IV,4789.87297,5.79,,0.811,,,5849,1.65,1.18,349.6947029,18.6457524,73.114
HD 108341 b,HD 108341,2,1,Radial Velocity,2014,La Silla Observatory,K2 V,1138.5,2.0145,,0.8095,,,5122,0.79,0.84,186.8791724,-71.4224896,48.9102
HD 43197 b,HD 43197,1,2,Radial Velocity,2010,La Silla Observatory,G8 V,318.36036,0.901,,0.786,,,5508,1,0.96,93.3993231,-29.8971929,62.4112
HD 45350 b,HD 45350,1,1,Radial Velocity,2004,W. M. Keck Observatory,G5 V,962.85,1.92,,0.779,,,5607.78,1.26,1.02,97.1902262,38.9627315,46.8733
HD 62364 c,HD 62364,1,2,Radial Velocity,2022,Multiple Observatories,,74839.94555,36.984,,0.773,,,,,1.19,113.9052658,-75.5442707,53.112
HD 86264 b,HD 86264,1,1,Radial Velocity,2009,Lick Observatory,F7 V,1480,2.86,,0.77,,,6210,1.88,1.42,149.2409308,-15.8953993,67.8107
HD 219077 b,HD 219077,1,1,Radial Velocity,2012,La Silla Observatory,G8 V,5489.844305,6.175,,0.768,,,5362,1.91,1.05,348.5319387,-62.7018297,29.1864
HD 30562 b,HD 30562,1,1,Radial Velocity,2009,Lick Observatory,G2 IV,1157,2.3075,,0.76,,,5871.5,1.61,1.22,72.1529519,-5.6751152,26.1597
HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,F8 V,2374,3.86,,0.76,,,6330,1.55,1.36,121.9155672,31.5511553,76.5217
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,,733,1.7,,0.76,,,4534,10.33,1.09,40.7425426,48.9300579,666.589
HD 83443 c,HD 83443,1,2,Radial Velocity,2022,Multiple Observatories,K0 V,8241,8,,0.76,,,5442,0.94,1,144.2994103,-43.272721,40.8991
TOI-4562 b,TOI-4562,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),F7 V,225.1239717,0.768,12.945,0.76,3.2,329.5,6030.995,1.2,1.19,112.0100593,-63.5177788,339.605
HD 20868 b,HD 20868,1,1,Radial Velocity,2008,La Silla Observatory,K3/4 IV,380.850005,0.9485,,0.75,,,4798.5,0.775,0.585,50.1794053,-33.72969,47.7223
TOI-4127 b,TOI-4127,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),F V,56.4015824,0.3081,12.415,0.7471,11.605,438.5,6264.5,1.27,1.23,105.4045516,72.4149297,319.632
HD 163607 b,HD 163607,1,2,Radial Velocity,2010,W. M. Keck Observatory,G5 IV,75.2203,0.362,,0.744,,,5522,1.76,1.12,268.4181383,56.3924701,67.7855
HD 41004 A b,HD 41004 A,2,2,Radial Velocity,2004,La Silla Observatory,,963,,,0.74,,,,,,89.9566041,-48.2394189,36.69117
HD 203387 b,HD 203387,1,2,Radial Velocity,2022,Multiple Observatories,,512.5352,1.771,,0.732,,,,,2.82,320.561782,-16.8345229,61.7477
HD 166724 b,HD 166724,1,1,Radial Velocity,2012,La Silla Observatory,K0 IV/V,4947,5.295,,0.7315,,,5127,,0.81,273.4988604,-42.5757218,45.1342
HD 181234 b,HD 181234,1,1,Radial Velocity,2019,La Silla Observatory,G5,7483.02875,7.475,,0.728,,,5386,1.055,0.99,289.9998695,-9.32497,47.7458
HD 222582 b,HD 222582,2,1,Radial Velocity,1999,W. M. Keck Observatory,,572.4585,1.3435,,0.7275,,,5746.66,1.14,0.995,355.4640788,-5.9862379,42.1586
HD 8673 b,HD 8673,2,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1639.345485,2.995,,0.7265,,,6389.05,1.5,1.28,21.5378455,34.5793389,37.8619
GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,Multiple Observatories,,69.971,0.283,,0.72,,,,,0.62,108.0194945,-24.8921008,28.4434
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,G2/G3 IV/V,1120,2.2,,0.71,,,5945,1.19,1.105,6.0851069,-56.649988,85.6922
Pr0211 c,Pr0211,2,2,Radial Velocity,2016,Roque de los Muchachos Observatory,,4850,5.5,,0.71,,,5300,0.83,0.94,130.547744,19.276957,182.714
HD 87883 b,HD 87883,1,1,Radial Velocity,2009,Lick Observatory,K0,3006,3.77,,0.707,,,4980,0.79,0.81,152.1794175,34.2419984,18.2912
iot Dra b,iot Dra,1,2,Radial Velocity,2002,Lick Observatory,K2 III,510.9762,1.2875,,0.7067,,,4530,12.335,1.05,231.2323227,58.9661403,31.32832
HD 96167 b,HD 96167,2,1,Radial Velocity,2009,W. M. Keck Observatory,G5,498.499995,1.332,,0.6975,,,5751.5,1.9,1.29,166.3125657,-10.291345,85.3006
HD 55696 b,HD 55696,1,1,Radial Velocity,2018,W. M. Keck Observatory,G0 V,1766.5,3.11,,0.693,,,6012,1.52,1.29,108.0622029,-38.174639,77.9693
HD 140901 c,HD 140901,1,2,Radial Velocity,2022,Multiple Observatories,G7 IV,10901.75274,9.6105,,0.6885,,,,,1.025,236.8689866,-37.9172333,15.2528
HIP 70849 b,HIP 70849,2,1,Radial Velocity,2009,La Silla Observatory,K7 V,10493.25,12.12,,0.6825,,,4105,,0.64,217.3270762,-46.464684,24.0572
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,G3 V,799.475,1.678,,0.6821,,,5747,1.13,1,295.4656422,50.5168243,21.1397
HD 14067 b,HD 14067,1,1,Radial Velocity,2014,Okayama Astrophysical Observatory,G9 III,2744,5.236,,0.681,,,4815,12.4,2.4,34.293348,23.7676546,142.024
HD 196067 b,HD 196067,2,1,Radial Velocity,2012,La Silla Observatory,G5 III,3623.5,5.06,,0.68,,,6017,1.73,1.275,310.4364195,-75.3514992,39.9346
HD 120084 b,HD 120084,1,1,Radial Velocity,2013,Okayama Astrophysical Observatory,G7 III,2084.55012,4.255,,0.68,,,4892,9.745,2.275,205.661989,78.0646376,103.044
HD 211810 b,HD 211810,1,1,Radial Velocity,2018,W. M. Keck Observatory,G5,1558,2.656,,0.68,,,5652,1.13,1.03,334.5286724,61.1349912,64.6353
HD 56414 b,HD 56414,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),,29.04983585,0.229,3.2785,0.68,257.07,1124,8354,1.775,1.89,107.8436846,-68.8333403,272.217
HD 37605 b,HD 37605,1,2,Radial Velocity,2004,McDonald Observatory,K0,55.012995,0.277,,0.6785,,,5334.5,0.95,0.92,85.0074276,6.0595116,46.7864
HD 156279 b,HD 156279,1,2,Radial Velocity,2011,Haute-Provence Observatory,G6,132.22655,0.4985,,0.677895,,,5453,0.96,0.945,258.0966686,63.3527828,36.1945
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,Fred Lawrence Whipple Observatory,F7 V,256.78,0.917,,0.677,,,6291,2.13,1.56,155.5433193,41.2289354,38.6364
